省份,大学,类型,公或民办,本或专科,985,211,双一流,城市,隶属于,地址
天津,天津理工大学,理工类,公办,普通本科,2,2,,天津市,天津市,天津市西青区宾水西道391号
天津,中国民航大学,理工类,公办,普通本科,2,2,,天津市,交通运输部,天津市东丽区津北公路2898号
天津,天津科技大学,理工类,公办,普通本科,2,2,,天津市,天津市,天津市河西区大沽南路1038号
天津,天津师范大学,师范类,公办,普通本科,2,2,,天津市,天津市,天津市西青区宾水西道393号
天津,天津商业大学,财经类,公办,普通本科,2,2,,天津市,天津市,天津市北辰区光荣道409号
天津,天津财经大学,财经类,公办,普通本科,2,2,,天津市,天津市,天津市河西区珠江道25号
天津,天津工业大学,理工类,公办,普通本科,2,2,双一流,天津市,天津市,天津市西青区宾水西道399号
天津,天津医科大学,医药类,公办,普通本科,2,1,双一流,天津市,天津市,天津市和平区气象台路22号
天津,河北工业大学,理工类,公办,普通本科,2,1,双一流,天津市,河北省,天津市北辰区西平道5340号
天津,天津外国语大学,语言类,公办,普通本科,2,2,,天津市,天津市,天津市河西区马场道117号
天津,天津城建大学,综合类,公办,普通本科,2,2,,天津市,天津市,天津市西青区津静路26号
天津,天津中医药大学,医药类,公办,普通本科,2,2,双一流,天津市,天津市,天津市静海区团泊新城西区鄱阳湖路10号
天津,南开大学滨海学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,天津市大港区学府路634号
天津,天津职业技术师范大学,师范类,公办,普通本科,2,2,,天津市,天津市,天津市河西区大沽南路1310号
天津,天津农学院,农林类,公办,普通本科,2,2,,天津市,天津市,天津市西青区津静路22号
天津,天津市职业大学,综合类,公办,专科（高职）,2,2,,天津市,天津市教委,天津市北辰区洛河道2号
天津,北京科技大学天津学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,天津市宝坻区京津新城珠江北环东路1号
天津,天津财经大学珠江学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,天津市宝坻区京津新城珠江北环东路2号
天津,天津仁爱学院,综合类,民办,普通本科,2,2,,天津市,天津市,天津市团泊新城博学苑
天津,天津医科大学临床医学院,医药类,民办,普通本科,2,2,,天津市,天津市教委,天津市大港区学苑路167号
天津,天津中德应用技术大学,理工类,公办,普通本科,2,2,,天津市,天津市,天津海河教育园区雅深路2号
天津,天津天狮学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,天津武清开发区翠亨路128号
天津,天津体育学院,体育类,公办,普通本科,2,2,,天津市,天津市,天津市静海区团泊新城西区东海道16号
天津,天津师范大学津沽学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,天津市西青区宾水西道393号
天津,天津医学高等专科学校,医药类,公办,专科（高职）,2,2,,天津市,天津市,天津市河西区柳林路14号
天津,天津理工大学中环信息学院,综合类,民办,普通本科,2,2,,天津市,天津市教委,"天津市西青区杨柳青柳口路99号,海河园院区：天津海河教育园区文惠南路"
天津,天津外国语大学滨海外事学院,语言类,民办,普通本科,2,2,,天津市,天津市教委,天津市滨海新区大港学府路60号
天津,天津滨海职业学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市滨海新区塘沽庐山道1101号
天津,天津商业大学宝德学院,财经类,民办,普通本科,2,2,,天津市,天津市教委,天津市西青区津静路28号
天津,天津商务职业学院,财经类,公办,专科（高职）,2,2,,天津市,天津市,天津海河教育园区雅观路23号
天津,天津铁道职业技术学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市河北区建昌道21号
天津,天津电子信息职业技术学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津海河教育园区雅深路4号
天津,中国人民解放军陆军军事交通学院,军事类,公办,普通本科,2,2,,天津市,解放军总后勤部,天津市河东区向阳楼东局子1号
天津,天津交通职业学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市西青区西青道269号
天津,天津美术学院,艺术类,公办,普通本科,2,2,,天津市,天津市,天津市河北区天纬路4号
天津,天津公安警官职业学院,政法类,公办,专科（高职）,2,2,,天津市,天津市,天津市西青区精武镇
天津,天津海运职业学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津海河教育园区雅深路8号
天津,天津现代职业技术学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津海河教育园区雅观路3号
天津,天津轻工职业技术学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津海河教育园区雅观路1号
天津,天津机电职业技术学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市海河教育园区雅观路19号
天津,天津渤海职业技术学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市河西区九连山路11号
天津,天津石油职业技术学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市团泊洼
天津,天津音乐学院,艺术类,公办,普通本科,2,2,,天津市,天津市,天津市河东区十一经路57号
天津,天津国土资源和房屋职业学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市滨海新区大港学苑路600号
天津,天津城市建设管理职业技术学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市北辰区龙泉道2889号
天津,天津城市职业学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市河北区真理道27号
天津,天津工程职业技术学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市滨海新区大港幸福路51号
天津,天津生物工程职业技术学院,医药类,公办,专科（高职）,2,2,,天津市,天津市,"天津市开发区西区南大街175号,天津市河北区宙纬路15号"
天津,天津传媒学院,体育类,民办,普通本科,2,2,,天津市,天津市,天津市蓟州区盘山大道68号
天津,天津工业职业学院,理工类,公办,专科（高职）,2,2,,天津市,天津市,天津市北辰区学海道38号
天津,天津艺术职业学院,艺术类,公办,专科（高职）,2,2,,天津市,天津市,"天津市河东区娄山道27号,天津市南开区苍穹道8号"
天津,天津工艺美术职业学院,艺术类,公办,专科（高职）,2,2,,天津市,天津市,天津市河北区红星路革新道10号
天津,天津广播影视职业学院,艺术类,公办,专科（高职）,2,2,,天津市,天津市,天津市西青区东姜井凯苑路148号
天津,天津开发区职业技术学院,综合类,公办,专科（高职）,2,2,,天津市,天津市,天津市开发区滨海大学城
天津,天津滨海汽车工程职业学院,理工类,民办,专科（高职）,2,2,,天津市,天津市教委,天津市津南区葛沽镇创新二路36号
天津,天津体育职业学院,体育类,公办,专科（高职）,2,2,,天津市,天津市,天津市静海区团泊新城西区团泊大道西侧、北华路北侧
天津,中国人民武装警察部队指挥学院,军事类,公办,普通本科,2,2,,天津市,中国人民武装警察部队,
天津,海军工程大学勤务学院,军事类,公办,普通本科,2,2,,天津市,,
河北,河北大学,综合类,公办,普通本科,2,2,,保定市,河北省,校本部：河北省保定市五四东路180号;新校区：河北省保定市七一东路2666号
河北,华北理工大学,综合类,公办,普通本科,2,2,,唐山市,河北省,河北省唐山市曹妃甸新城渤海大道21号
